dealer_id,dealer_name,city,pin_code,model,primary_language,test_ride_available,source_system
DLR-4003,SVT Chennai North,Chennai,600001,SVT Urban 125 Plus,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Pulse 160 Standard,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Pulse 160 Long Range,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Nova 110 Lite,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Nova 110 Connect,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Apex 300 Sport,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Apex 300 Tour,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Glide 90 Eco,Tamil,true,DealerMDM
DLR-4003,SVT Chennai North,Chennai,600001,SVT Glide 90 Family,Tamil,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Stride 200 Demo,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Stride 200 Pro,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Urban 125 Demo,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Urban 125 Plus,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Pulse 160 Standard,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Pulse 160 Long Range,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Nova 110 Lite,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Nova 110 Connect,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Apex 300 Sport,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Apex 300 Tour,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Glide 90 Eco,Hindi,true,DealerMDM
DLR-4004,SVT Delhi South,Delhi,110001,SVT Glide 90 Family,Hindi,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Stride 200 Demo,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Stride 200 Pro,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Urban 125 Demo,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Urban 125 Plus,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Pulse 160 Standard,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Pulse 160 Long Range,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Nova 110 Lite,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Nova 110 Connect,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Apex 300 Sport,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Apex 300 Tour,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Glide 90 Eco,Gujarati,true,DealerMDM
DLR-4005,SVT Ahmedabad One,Ahmedabad,380001,SVT Glide 90 Family,Gujarati,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Stride 200 Demo,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Stride 200 Pro,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Urban 125 Demo,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Urban 125 Plus,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Pulse 160 Standard,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Pulse 160 Long Range,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Nova 110 Lite,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Nova 110 Connect,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Apex 300 Sport,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Apex 300 Tour,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Glide 90 Eco,Malayalam,true,DealerMDM
DLR-4006,SVT Kochi Central,Kochi,682001,SVT Glide 90 Family,Malayalam,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Stride 200 Demo,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Stride 200 Pro,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Urban 125 Demo,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Urban 125 Plus,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Pulse 160 Standard,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Pulse 160 Long Range,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Nova 110 Lite,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Nova 110 Connect,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Apex 300 Sport,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Apex 300 Tour,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Glide 90 Eco,Telugu,true,DealerMDM
DLR-4007,SVT Hyderabad Central,Hyderabad,500001,SVT Glide 90 Family,Telugu,true,DealerMDM
